Entity1,Relationship,Entity2,Evidence,Evidence URL
PVQR,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
PVQR,Receptor,DOP-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVQmainframe.htm
PVQR,Receptor,GGR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVQmainframe.htm
PVQR,Receptor,GLR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVQmainframe.htm
PVQR,Receptor,GLR-5,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVQmainframe.htm
PVQR,Receptor,SRA-6,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVQmainframe.htm
PVQR,Receptor,SER-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVQmainframe.htm
PVQR,Receptor,PDFR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVQmainframe.htm
PVQR,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVQmainframe.htm
PVR,Neurotransmitter,Glutamate,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVRmainframe.htm
PVR,Innexin,INX-3,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
PVR,Innexin,INX-4,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
PVR,Innexin,INX-8,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
PVR,Innexin,INX-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
PVR,Innexin,INX-13,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
PVR,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
PVR,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVRmainframe.htm
PVT,Neuropeptide,PDF-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/PVTmainframe.htm
PVT,Innexin,INX-3,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
PVT,Innexin,INX-4,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
PVT,Innexin,INX-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
PVT,Innexin,INX-17,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
PVT,Innexin,INX-18,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
PVT,Innexin,UNC-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
