Entity1,Relationship,Entity2,Evidence,Evidence URL
SAADL,Neuropeptide,PDF-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/SAAmainframe.htm
SAADL,type,"Interneuron, (sublateral) motor neuron",WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/SAAmainframe.htm
SAADR,Neurotransmitter,Acetylcholine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/SAAmainframe.htm
SAADR,Neuropeptide,PDF-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/SAAmainframe.htm
SAADR,type,"Interneuron, (sublateral) motor neuron",WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/SAAmainframe.htm
SAAVL,Neurotransmitter,Acetylcholine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/SAAmainframe.htm
SAAVL,Neuropeptide,PDF-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/SAAmainframe.htm
SAAVL,type,"Interneuron, (sublateral) motor neuron",WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/SAAmainframe.htm
SAAVR,Neurotransmitter,Acetylcholine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/SAAmainframe.htm
SAAVR,Neuropeptide,PDF-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/SAAmainframe.htm
SAAVR,type,"Interneuron, (sublateral) motor neuron",WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/SAAmainframe.htm
SABD,Neurotransmitter,Acetylcholine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/SABmainframe.htm
SABD,Innexin,INX-8,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
SABD,type,"Interneuron, (sublateral) motor neuron",WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/SABmainframe.htm
SABVL,Neurotransmitter,Acetylcholine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/SABmainframe.htm
SABVL,Innexin,INX-8,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
SABVL,type,"Interneuron, (sublateral) motor neuron",WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/SABmainframe.htm
