Cell	Lineage Name	Description
AVL	AB.prpappaap	Ring and ventral cord interneuron, few synapses
AVM	QR.paa	Anterior ventral microtubule cell, touch receptor
AWAL	AB.plaapapaa	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath
AWAR	AB.praapapaa	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath
AWBL	AB.alpppppap	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath
AWBR	AB.praaappap	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath
AWCL	AB.plpaaaaap	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath
AWCR	AB.prpaaaaap	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath
B	AB.prppppapa	Rectal cell, postembryonic blast cell in male
BAGL	AB.alppappap	Neuron, ciliated ending in head, no supporting cells, associated with ILso
BAGR	AB.arappppap	Neuron, ciliated ending in head, no supporting cells, associated with ILso
BDUL	AB.arppaappp	Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles
BDUR	AB.arpppappp	Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles
C	P0.ppa	Embryonic founder cell
CA1	P3.aapa	Male specific cell, not reconstructed
CA2	P4.aapa	Male specific cell, not reconstructed
CA3	P5.aapa	Male specific cell, not reconstructed
CA4	P6.aapa	Male specific neuron, innervates dorsal muscles
CA5	P7.aapa	Male specific neuron, innervates dorsal muscles
CA6	P8.aapa	Male specific neuron, innervates dorsal muscles
CA7	P9.aapa	Male specific neuron, innervates dorsal muscles
CA8	P10.aapa	Male specific cell in ventral cord, neuron-like but lacks synapses
CA9	P11.aapa	Male specific cell in ventral cord, neuron-like but lacks synapses
CANL	AB.alapaaapa	Process runs along excretory canal, no synapses, essential for survival
CANR	AB.alappappa	Process runs along excretory canal, no synapses, essential for survival
CEMDL	AB.plaaaaaap	Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite.
CEMDR	AB.arpapaaap	Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite.
CEMVL	AB.plpaapapp	Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite.
CEMVR	AB.prpaapapp	Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite.
CEPDL	AB.plaaaaappa	Cephalic neurons, contain dopamine
CEPDR	AB.arpapaappa	Cephalic neurons, contain dopamine
CEPVL	AB.plpaappppa	Cephalic neurons, contain dopamine
CEPVR	AB.prpaappppa	Cephalic neurons, contain dopamine
CEPshDL	AB.arpaaaapp	Cephalic sheath, sheet-like processes envelop neuropil of the ring and part of ventral ganglion
CEPshDR	AB.arpaaapap	Cephalic sheath, sheet-like processes envelop neuropil of the ring and part of ventral ganglion
CEPshVL	AB.plpaaapap	Cephalic sheath, sheet-like processes envelop neuropil of the ring and part of ventral ganglion
CEPshVR	AB.prpaaapap	Cephalic sheath, sheet-like processes envelop neuropil of the ring and part of ventral ganglion
CEPsoDL	AB.alapapppp	Cephalic socket
CEPsoDR	AB.alapppppp	Cephalic socket
CEPsoVL	AB.alppaappp	Cephalic socket
CEPsoVR	AB.alaapappp	Cephalic socket
CPO	P2.aap	Male specific cell in ventral cord, not reconstructed
CP1	P3.aapp	Male specific cell in ventral cord, not reconstructed
CP2	P4.aapp	Male specific cell in ventral cord, not reconstructed
CP3	P5.aapp	Male specific cell in ventral cord, not reconstructed
CP4	P6.aapp	Male specific motor neuron in ventral cord
CP5	P7.aapp	Male specific motor neuron in ventral cord
CP6	P8.aapp	Male specific motor neuron in ventral cord
CP7	P9.aapp	Male specific motor neuron in ventral cord
CP8	P10.aapp	Male specific interneuron, project into preanal ganglion
CP9	P11.aapp	Male specific interneuron, project into preanal ganglion
D	P0.pppa	Embryonic founder cell
DA1	AB.prppapaap	Ventral cord motor neurons, innervate dorsal muscles
DA2	AB.plppapapa	Ventral cord motor neurons, innervate dorsal muscles
DA3	AB.prppapapa	Ventral cord motor neurons, innervate dorsal muscles
DA4	AB.plppapapp	Ventral cord motor neurons, innervate dorsal muscles
DA5	AB.prppapapp	Ventral cord motor neurons, innervate dorsal muscles
DA6	AB.plpppaaap	Ventral cord motor neurons, innervate dorsal muscles
DA7	AB.prpppaaap	Ventral cord motor neurons, innervate dorsal muscles
DA8	AB.prpapappp	Ventral cord motor neurons, innervate dorsal muscles
DA9	AB.plpppaaaa	Ventral cord motor neurons, innervate dorsal muscles
DB1/3	AB.plpaaaapp	Ventral cord motor neurons, innervate dorsal muscles
DB2	AB.arappappa	Ventral cord motor neurons, innervate dorsal muscles
DB3/1	AB.prpaaaapp	Ventral cord motor neurons, innervate dorsal muscles
DB4	AB.prpappapp	Ventral cord motor neurons, innervate dorsal muscles
DB5	AB.plpapappp	Ventral cord motor neurons, innervate dorsal muscles
DB6	AB.plppaappp	Ventral cord motor neurons, innervate dorsal muscles
DB7	AB.prppaappp	Ventral cord motor neurons, innervate dorsal muscles
DD1	AB.plppappap	Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during postembryonic development
DD2	AB.prppappap	Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during postembryonic development
DD3	AB.plppapppa	Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during postembryonic development
DD4	AB.prppapppa	Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during postembryonic development
DD5	AB.plppapppp	Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during postembryonic development
DD6	AB.prppapppp	Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during postembryonic development
DVA	AB.prppppapp	Ring interneurons, cell bodies in dorsorectal ganglion
DVB	K.p	Ring interneuron, cell body in dorsorectal ganglion, innervates rectal muscles
DVC	C.aapaa	Ring interneurons, cell bodies in dorsorectal ganglion
DVE	B.ppap	Male specific neuron, cell body in dorsorectal ganglion
DVF	B.ppppa	Male specific neuron, cell body in dorsorectal ganglion
DX1/2	F.lvda	Male specific neuron, darkly staining cell body in pre- anal ganglion, process penetrate basement membrane and contact muscles
DX1/2	F.rvda	Male specific neuron, darkly staining cell body in pre- anal ganglion, process penetrate basement membrane and contact muscles
DX3/4	U.laa	Male specific neuron, darkly staining cell body in pre- anal ganglion, process penetrate basement membrane and contact muscles
DX3/4	U.raa	Male specific neuron, darkly staining cell body in pre- anal ganglion, process penetrate basement membrane and contact muscles
E	P0.pap	Embryonic founder cell
EF1/2	F.lvda	Male specific neuron, large cell body in preanal ganglion, synaptic inputs from ray neurons.
EF1/2	F.rvda	Male specific neuron, large cell body in preanal ganglion, synaptic inputs from ray neurons.
EF3/4	U.lap	Male specific neuron, large cell body in preanal ganglion, synaptic inputs from ray neurons.
EF3/4	U.rap	Male specific neuron, large cell body in preanal ganglion, synaptic inputs from ray neurons.
F	AB.plppppapp	Rectal cell, blast cell in male
FLPL	AB.plapaaapad	Neuron, ciliated ending in head, no supporting cells, associated with ILso
FLPR	AB.prapaaapad	Neuron, ciliated ending in head, no supporting cells, associated with ILso
GLRDL	MS.aaaaaal	Set of six cells that form a thin cylindrical sheet between pharynx and ring neuropile; no chemical synapses, but gap junctions with muscle arms and RME motor neurons
GLRDR	MS.aaaaaar	Set of six cells that form a thin cylindrical sheet between pharynx and ring neuropile; no chemical synapses, but gap junctions with muscle arms and RME motor neurons
GLRL	MS.apaaaad	Set of six cells that form a thin cylindrical sheet between pharynx and ring neuropile; no chemical synapses, but gap junctions with muscle arms and RME motor neurons
GLRR	MS.ppaaaad	Set of six cells that form a thin cylindrical sheet between pharynx and ring neuropile; no chemical synapses, but gap junctions with muscle arms and RME motor neurons
GLRVL	MS.apaaaav	Set of six cells that form a thin cylindrical sheet between pharynx and ring neuropile; no chemical synapses, but gap junctions with muscle arms and RME motor neurons
GLRVR	MS.ppaaaav	Set of six cells that form a thin cylindrical sheet between pharynx and ring neuropile; no chemical synapses, but gap junctions with muscle arms and RME motor neurons
G1	AB.prpaaaapa	Postembryonic blast cell, excretory socket in embryo
G2	AB.plapaapa	Postembryonic blast cell, excretory socket in L1, G2.p becomes socket later
HOL	AB.plaaappa	Seam hypodermal cell
HOR	AB.arpapppa	Seam hypodermal cell
H1L	AB.plaaappp	Seam hypodermal cell, postembryonic blast cell
H1R	AB.arpapppp	Seam hypodermal cell, postembryonic blast cell
H2L	AB.arppaaap	Seam hypodermal cell, postemb. blast cell, L1 deirid socket
H2R	AB.arpppaap	Seam hypodermal cell, postemb. blast cell, L1 deirid socket
HOA	P10.pppa	Neuron of hook sensillum, receptor anterior to cloaca in male
HOB	P10.ppap	Neuron of hook sensillum, receptor anterior to cloaca in male
HOsh	P10.ppppp	Sheath of hook sensillum, receptor anterior to cloaca in male
HOso	P10.ppaa	Socket of hook sensillum, receptor anterior to cloaca in male
HSNL	AB.plapppappa	Herm. specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic
HSNR	AB.prapppappa	Herm. specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic
I1L	AB.alpapppaa	Pharyngeal interneurons: ant sensory, input from RIP
I1R	AB.arapappaa	Pharyngeal interneurons: ant sensory, input from RIP
I2L	AB.alpappaapa	Pharyngeal interneurons, ant sensory.
I2R	AB.arapapaapa	Pharyngeal interneurons, ant sensory.
I3	MS.aaaaapaa	Pharyngeal interneuron, ant sensory.
I4	MS.aaaapaa	Pharyngeal interneuron.
I5	AB.arapapapp	Pharyngeal interneuron, post sensory.
I6	MS.paaapaa	Pharyngeal interneuron, post sensory.
IL1DL	AB.alapappaaa	Inner labial neuron
IL1DR	AB.alappppaaa	Inner labial neuron
IL1L	AB.alapaappaa	Inner labial neuron
IL1R	AB.alaappppaa	Inner labial neuron
IL1VL	AB.alppapppaa	Inner labial neuron
IL1VR	AB.arapppppaa	Inner labial neuron
IL2DL	AB.alapappap	Inner labial neuron
IL2DR	AB.alappppap	Inner labial neuron
IL2L	AB.alapaappp	Inner labial neuron
IL2R	AB.alaappppp	Inner labial neuron
IL2VL	AB.alppapppp	Inner labial neuron
IL2VR	AB.arapppppp	Inner labial neuron
ILshDL	AB.alaaaparr	Inner labial sheath
ILshDR	AB.alaaappll	Inner labial sheath
ILshL	AB.alaaaalpp	Inner labial sheath
ILshR	AB.alaapaapp	Inner labial sheath
ILshVL	AB.alppapaap	Inner labial sheath
ILshVR	AB.arapppaap	Inner labial sheath
ILsoDL	AB.plaapaaap	Inner labial socket
ILsoDR	AB.praapaaap	Inner labial socket
ILsoL	AB.alaaapall	Inner labial socket
ILsoR	AB.alaaapprr	Inner labial socket
ILsoVL	AB.alppapapp	Inner labial socket
ILsoVR	AB.arapppapp	Inner labial socket
K	AB.plpapppaa	Rectal cell, postembryonic blast cell
K'	AB.plpapppap	Rectal cell
K.a	K.a	Rectal cell
LUAL	AB.plpppaapap	Interneuron, short process in post ventral cord
LUAR	AB.prpppaapap	Interneuron, short process in post ventral cord
M	MS.apaap	Postembryonic mesoblast
M1	MS.paapaaa	Pharyngeal motorneurons
M2L	AB.araapappa	Pharyngeal motorneurons
