Cell	Lineage Name	Description
R6BR	V6R.ppppaapa, R6.apa	Male sensory rays, neuron, not darkly staining nor open to outside
R6stL	V6L.ppppaapp, R6.app	Male sensory rays, structural cell
R6stR	V6R.ppppaapp, R6.app	Male sensory rays, structural cell
R7AL	TL.apappaaa, R7.aaa	Male sensory rays, neuron, striated rootlet
R7AR	TR.apappaaa, R7.aaa	Male sensory rays, neuron, striated rootlet
R7BL	TL.apappapa, R7.apa	Male sensory rays, neuron, darkly staining tip, open to outside
R7BR	TR.apappapa, R7.apa	Male sensory rays, neuron, darkly staining tip, open to outside
R7stL	TL.apappapp, R7.app	Male sensory rays, structural cell
R7stR	TR.apappapp, R7.app	Male sensory rays, structural cell
R8AL	TL.appaaaaa, R8.aaa	Male sensory rays, neuron, striated rootlet
R8AR	TR.appaaaaa, R8.aaa	Male sensory rays, neuron, striated rootlet
R8BL	TL.appaaapa, R8.apa	Male sensory rays, neuron, darkly staining tip, open to outside
R8BR	TR.appaaapa, R8.apa	Male sensory rays, neuron, darkly staining tip, open to outside
R8stL	TL.appaaapp, R8.app	Male sensory rays, structural cell
R8stR	TR.appaaapp, R8.app	Male sensory rays, structural cell
R9AL	TL.appapaaa, R9.aaa	Male sensory rays, neuron, striated rootlet
R9AR	TR.appapaaa, R9.aaa	Male sensory rays, neuron, striated rootlet
R9BL	TL.appapapa, R9.apa	Male sensory rays, neuron, darkly staining tip, open to outside
R9BR	TR.appapapa, R9.apa	Male sensory rays, neuron, darkly staining tip, open to outside
R9stL	TL.appapapp, R9.app	Male sensory rays, structural cell
R9stR	TR.appapapp, R9.app	Male sensory rays, structural cell
RIAL	AB.alapaapaa	Ring interneuron, many synapses
RIAR	AB.alaapppaa	Ring interneuron, many synapses
RIBL	AB.plpaappap	Ring interneuron
RIBR	AB.prpaappap	Ring interneuron
RICL	AB.plppaaaapp	Ring interneuron
RICR	AB.prppaaaapp	Ring interneuron
RID	AB.alappaapa	Ring interneuron, projects along dorsal cord
RIFL	AB.plppapaaap	Ring interneuron
RIFR	AB.prppapaaap	Ring interneuron
RIGL	AB.plppappaa	Ring interneuron
RIGR	AB.prppappaa	Ring interneuron
RIH	AB.prpappaaa	Ring interneuron
RIML	AB.plppaapap	Ring motor neuron
RIMR	AB.prppaapap	Ring motor neuron
RIPL	AB.alpapaaaa	Ring/pharynx interneuron, only direct connection between pharynx and ring
RIPR	AB.prappaaaa	Ring/pharynx interneuron, only direct connection between pharynx and ring
RIR	AB.prpapppaa	Ring interneuron
RIS	AB.prpappapa	Ring interneuron
RIVL	AB.plpaapaaa	Ring interneuron
RIVR	AB.prpaapaaa	Ring interneuron
RMDDL	AB.alpapapaa	Ring motor neuron/interneuron, many synapses
RMDDR	AB.arappapaa	Ring motor neuron/interneuron, many synapses
RMDL	AB.alpppapad	Ring motor neuron/interneuron, many synapses
RMDR	AB.praaaapad	Ring motor neuron/interneuron, many synapses
RMDVL	AB.alppapaaa	Ring motor neuron/interneuron, many synapses
RMDVR	AB.arapppaaa	Ring motor neuron/interneuron, many synapses
RMED	AB.alapppaap	Ring motor neuron
RMEL	AB.alaaaarlp	Ring motor neuron
RMER	AB.alaaaarrp	Ring motor neuron
RMEV	AB.plpappaaa	Ring motor neuron
RMFL	G2.al	Ring motor neuron/interneuron
RMFR	G2.ar	Ring motor neuron/interneuron
RMGL	AB.plapaaapp	Ring interneuron
RMGR	AB.prapaaapp	Ring interneuron
RMHL	G1.l	Ring motor neuron/interneuron
RMHR	G1.r	Ring motor neuron/interneuron
SAADL	AB.alppapapa	Ring interneuron, anteriorly projecting process that runs sublaterally
SAADR	AB.arapppapa	Ring interneuron, anteriorly projecting process that runs sublaterally
SAAVL	AB.plpaaaaaa	Ring interneuron, anteriorly projecting process that runs sublaterally
SAAVR	AB.prpaaaaaa	Ring interneuron, anteriorly projecting process that runs sublaterally
SABD	AB.plppapaap	Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1
SABVL	AB.plppapaaaa	Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1
SABVR	AB.prppapaaaa	Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1
SDQL	QL.pap	Post. lateral interneuron, process projects into ring
SDQR	QR.pap	Ant. lateral interneuron, process projects into ring
SIADL	AB.plpapaapa	Receives a few synapses in the ring, has a posteriorly directed process that runs sublaterally
SIADR	AB.prpapaapa	Receives a few synapses in the ring, has a posteriorly directed process that runs sublaterally
SIAVL	AB.plpapappa	Receives a few synapses in the ring, has a posteriorly directed process that runs sublaterally
SIAVR	AB.prpapappa	Receives a few synapses in the ring, has a posteriorly directed process that runs sublaterally
SIBDL	AB.plppaaaaa	Receives a few synapses in the ring, has a posteriorly directed process that runs sublaterally
SIBDR	AB.prppaaaaa	Receives a few synapses in the ring, has a posteriorly directed process that runs sublaterally
SIBVL	AB.plpapaapp	Receives a few synapses in the ring, has a posteriorly directed process that runs sublaterally
SIBVR	AB.prpapaapp	Receives a few synapses in the ring, has a posteriorly directed process that runs sublaterally
SMBDL	AB.alpapapapp	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally
SMBDR	AB.arappapapp	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally
SMBVL	AB.alpapappp	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally
SMBVR	AB.arappappp	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally
SMDDL	AB.plpapaaaa	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally
SMDDR	AB.prpapaaaa	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally
SMDVL	AB.alppappaa	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally
SMDVR	AB.arappppaa	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally
SPCL	B.alpaap	Male specific sensory /motor neuron, innervates spicule protractor muscle
SPCR	B.arpaap	Male specific sensory /motor neuron, innervates spicule protractor muscle
SPDL	B.alpapaa	Sensory neuron of copulatory spicule in male, cilliated, open to outside at tip of spicule
SPDR	B.arpapaa	Sensory neuron of copulatory spicule in male, cilliated, open to outside at tip of spicule
SPVL	B.al/raalda	Sensory neuron of copulatory spicule in male, cilliated, open to outside at tip of spicule
SPVR	B.al/raarda	Sensory neuron of copulatory spicule in male, cilliated, open to outside at tip of spicule
SPshDL	B.alpapap	Sheath of male copulatory spicule
SPshDR	B.arpapap	Sheath of male copulatory spicule
SPshVL	B.al/raaldp	Sheath of male copulatory spicule
SpshVR	B.al/raarda	Sheath of male copulatory spicule
SPso1L	B.al/rpppl	Socket of male copulatory spicule
SPso1R	B.al/rpppr	Socket of male copulatory spicule
SPso2L	B.al/raald	Socket of male copulatory spicule
SPso2R	B.al/raard	Socket of male copulatory spicule
SPso3L	B.al/raalv	Socket of male copulatory spicule
SPso3R	B.al/raarv	Socket of male copulatory spicule
SPso4L	B.alpapp	Socket of male copulatory spicule
SPso4r	B.arpapp	Socket of male copulatory spicule
TL	AB.plappppp	Tail seam hypodermal cell, postembryonic blast cell, functions as phasmid socket in L1
TR	AB.prappppp	Tail seam hypodermal cell, postembryonic blast cell, functions as phasmid socket in L1
U	AB.plppppapa	Rectal cell, postembryonic blast cell in male
URADL	AB.plaaaaaaa	Ring motor neuron
URADR	AB.arpapaaaa	Ring motor neuron
URAVL	AB.plpaaapaa	Ring motor neuron
URAVR	AB.prpaaapaa	Ring motor neuron
URBL	AB.plaapaapa	Neuron, presynaptic in ring, ending in head
URBR	AB.praapaapa	Neuron, presynaptic in ring, ending in head
URXL	AB.plaaaaappp	Ring interneuron
URXR	AB.arpapaappp	Ring interneuron
URYDL	AB.alapapapp	Neuron, presynaptic in ring, ending in head
URYDR	AB.alapppapp	Neuron, presynaptic in ring, ending in head
URYVL	AB.plpaaappp	Neuron, presynaptic in ring, ending in head
URYVR	AB.prpaaappp	Neuron, presynaptic in ring, ending in head
V1L	AB.arppapaa	Seam hypodermal cell, postembryonic blast cell
V1R	AB.arppppaa	Seam hypodermal cell, postembryonic blast cell
V2L	AB.arppapap	Seam hypodermal cell, postembryonic blast cell
V2R	AB.arppppap	Seam hypodermal cell, postembryonic blast cell
V3L	AB.plappapa	Seam hypodermal cell, postembryonic blast cell
V3R	AB.prappapa	Seam hypodermal cell, postembryonic blast cell
V4L	AB.arppappa	Seam hypodermal cell, postembryonic blast cell
V4R	AB.arpppppa	Seam hypodermal cell, postembryonic blast cell
V5L	AB.plapapaap	Seam hypodermal cell, postembryonic blast cell
V5R	AB.prapapaap	Seam hypodermal cell, postembryonic blast cell
V6L	AB.arppappp	Seam hypodermal cell, postembryonic blast cell
V6R	AB.arpppppp	Seam hypodermal cell, postembryonic blast cell
VA1	W.pa	Vent. cord motor neuron, innervates vent. body muscles
VA2	P2.aaaa	Vent. cord motor neuron, innervates vent. body muscles
VA3	P3.aaaa	Vent. cord motor neuron, innervates vent. body muscles
VA4	P4.aaaa	Vent. cord motor neuron, innervates vent. body muscles
VA5	P5.aaaa	Vent. cord motor neuron, innervates vent. body muscles
VA6	P6.aaaa	Vent. cord motor neuron, innervates vent. body muscles
VA7	P7.aaaa	Vent. cord motor neuron, innervates vent. body muscles
VA8	P8.aaaa	Vent. cord motor neuron, innervates vent. body muscles
VA9	P9.aaaa	Vent. cord motor neuron, innervates vent. body muscles
VA10	P10.aaaa	Vent. cord motor neuron, innervates vent. body muscles
VA11	P11.aaaa	Vent. cord motor neuron, innervates vent. body muscles
VA12	P12.aaaa	Vent. cord motor neuron, innervates vent. body muscles, but also interneuron in preanal ganglion
VB1	P1.aaap	Vent. cord motor neuron, innervates vent. body muscles, also interneuron in ring
VB2	W.aap	Vent. cord motor neuron, innervates vent. body muscles
VB3	P2.aaap	Vent. cord motor neuron, innervates vent. body muscles
VB4	P3.aaap	Vent. cord motor neuron, innervates vent. body muscles
VB5	P4.aaap	Vent. cord motor neuron, innervates vent. body muscles
VB6	P5.aaap	Vent. cord motor neuron, innervates vent. body muscles
VB7	P6.aaap	Vent. cord motor neuron, innervates vent. body muscles
VB8	P7.aaap	Vent. cord motor neuron, innervates vent. body muscles
VB9	P8.aaap	Vent. cord motor neuron, innervates vent. body muscles
VB10	P9.aaap	Vent. cord motor neuron, innervates vent. body muscles
VB11	P10.aaap	Vent. cord motor neuron, innervates vent. body muscles
VC1	P3.aap	Hermaphrodite specific vent cord motor neuron innervates vulval muscles and vent body muscles
VC2	P4.aap	Hermaphrodite specific vent cord motor neuron innervates vulval muscles and vent body muscles
VC3	P5.aap	Hermaphrodite specific vent cord motor neuron innervates vulval muscles and vent body muscles
VC4	P6.aap	Hermaphrodite specific vent cord motor neuron innervates vulval muscles and vent body muscles
VC5	P7.aap	Hermaphrodite specific vent cord motor neuron innervates vulval muscles and vent body muscles
VC6	P8.aap	Hermaphrodite specific vent cord motor neuron innervates vulval muscles and vent body muscles
VD1	W.pp	Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor
VD2	P1.app	Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor
VD3	P2.app	Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor
VD4	P3.app	Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor
VD5	P4.app	Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor
VD6	P5.app	Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor
VD7	P6.app	Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor
VD8	P7.app	Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor
VD9	P8.app	Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor
VD10	P9.app	Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor
VD11	P10.app	Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor
VD12	P11.app	Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor
VD13	P12.app	Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor
W	AB.prapaapa	Postembryonic neuroblast, analogous to Pn.a cells
XXXL	AB.plaaapaa	Embryonic head hypodermal cell
XXXR	AB.arpappaa	Embryonic head hypodermal cell
Y	AB.prpppaaaa	Rectal cell at hatching, becomes PDA in hermaphrodite, postembryonic blast cell in male
Z1	MS.pppaap	Somatic gonad precursor cell
Z2	P4.p	Germ line precursor cell
Z3	P4.a	Germ line precursor cell
Z4	MS.appaap	Somatic gonad precursor cell
arc_ant	AB.araaapppa	Interface between pharynx and hypodermis, form anterior part of the buccal cavity
arc_ant	AB.alpaappaa	Interface between pharynx and hypodermis, form anterior part of the buccal cavity
arc_ant	AB.alpapaapa	Interface between pharynx and hypodermis, form anterior part of the buccal cavity
arcpost	AB.alpaapaaa	Interface between pharynx and hypodermis, form anterior part of the buccal cavity
arcpost	AB.alpaappap	Interface between pharynx and hypodermis, form anterior part of the buccal cavity
arcpost	AB.araaapaaa	Interface between pharynx and hypodermis, form anterior part of the buccal cavity
arcpost	AB.araaappaa	Interface between pharynx and hypodermis, form anterior part of the buccal cavity
arcpost	AB.araaappap	Interface between pharynx and hypodermis, form anterior part of the buccal cavity
arcpost	AB.arapapapa	Interface between pharynx and hypodermis, form anterior part of the buccal cavity
cc_DL	M.dlpa	Postembryonic coelomocyte in hermaphrodite
cc_DR	M.drpa	Postembryonic coelomocyte in hermaphrodite
cc_male_D	M.dlpappp	Single male postembryonic coelomocyte
ccAL	MS.apapaaa	Embryonic coelomocytes
ccAR	MS.ppapaaa	Embryonic coelomocytes
ccPL	MS.apapaap	Embryonic coelomocytes
ccPR	MS.ppapaap	Embryonic coelomocytes
e1D	AB.araaaapap	Pharyngeal epithelial cells
e1VL	AB.araaaaaaa	Pharyngeal epithelial cells
e1VR	AB.araaaaapa	Pharyngeal epithelial cells
e2DL	AB.alpaapaap	Pharyngeal epithelial cells
e2DR	AB.araaapaap	Pharyngeal epithelial cells
e2V	AB.alpappapa	Pharyngeal epithelial cells
e3D	AB.araapaaaa	Pharyngeal epithelial cells
e3VL	AB.alpaaaaaa	Pharyngeal epithelial cells
e3VR	AB.arapaaaaa	Pharyngeal epithelial cells
exc_cell	AB.plpappaap	Large H-shaped excretory cell
exc_duct	AB.plpaaaapa	Excretory duct
exc_gl_L	AB.plpapapaa	Excretory glands, fused, send processes to ring, open into excretory duct
exc_gl_R	AB.prpapapaa	Excretory glands, fused, send processes to ring, open into excretory duct
exc_socket	G2.p	Excretory socket, links duct to hypodermis
g1AL	MS.aapaapaa	Pharyngeal gland cells
g1AR	MS.papaapaa	Pharyngeal gland cells
g1P	MS.aaaaapap	Pharyngeal gland cells
g2L	MS.aapapaa	Pharyngeal gland cells
g2R	MS.papapaa	Pharyngeal gland cells
gon_herm_anch	Z1.ppp/Z4.aaa	Anchor cell, induces vulva, herm gonad
gon_herm_dtc_A	Z1.aa	Anterior distal tip cell, inhibit meiosis in neighboring germ cells, lead gonad during morphogenesis, herm gonad
gon_herm_dtc_B	Z4.pp	Posterior distal tip cell, inhibit meiosis in neighboring germ cells, lead gonad during morph
gon_herm_dish_A	Z1.apa	Anterior epithelial sheaths of distal arms, no muscle fibers, herm gonad
gon_herm_dish_A	Z1.paaa	Anterior epithelial sheaths of distal arms, no muscle fibers, herm gonad
gon_herm_dish_P	Z4.pap	Posterior epithelial sheaths of distal arms, no muscle fibers, herm gonad
gon_herm_dish_P	Z4.appp	Posterior epithelial sheaths of distal arms, no muscle fibers, herm gonad
gon_herm_prsh_A	Z1.appaaa	Anterior epithelial sheaths of proximal arms, have muscle fibers
gon_herm_prsh_A	Z1.appaap	Anterior epithelial sheaths of proximal arms, have muscle fibers
gon_herm_prsh_A	Z1.appapa	Anterior epithelial sheaths of proximal arms, have muscle fibers
gon_herm_prsh_A	Z1.appapp	Anterior epithelial sheaths of proximal arms, have muscle fibers
gon_herm_prsh_A	Z1.paapaaa	Anterior epithelial sheaths of proximal arms, have muscle fibers
gon_herm_prsh_A	Z1.paapaap	Anterior epithelial sheaths of proximal arms, have muscle fibers
gon_herm_prsh_A	Z1.paapapa	Anterior epithelial sheaths of proximal arms, have muscle fibers
gon_herm_prsh_A	Z1.paapapp	Anterior epithelial sheaths of proximal arms, have muscle fibers
gon_herm_prsh_P	Z4.paapaa	Posterior epithelial sheaths of proximal arms, have muscle fibers
gon_herm_prsh_P	Z4.paapap	Posterior epithelial sheaths of proximal arms, have muscle fibers
gon_herm_prsh_P	Z4.paappa	Posterior epithelial sheaths of proximal arms, have muscle fibers
gon_herm_prsh_P	Z4.paappp	Posterior epithelial sheaths of proximal arms, have muscle fibers
gon_herm_prsh_P	Z4.appapaa	Posterior epithelial sheaths of proximal arms, have muscle fibers
gon_herm_prsh_P	Z4.appapap	Posterior epithelial sheaths of proximal arms, have muscle fibers
gon_herm_prsh_P	Z4.appappa	Posterior epithelial sheaths of proximal arms, have muscle fibers
gon_herm_prsh_P	Z4.appappp	Posterior epithelial sheaths of proximal arms, have muscle fibers
gon_herm_spth_A	Z1.apppaaaa	Anterior spermathecae
gon_herm_spth_A	Z1.apppaaap	Anterior spermathecae
gon_herm_spth_A	Z1.apppaapa	Anterior spermathecae
gon_herm_spth_A	Z1.apppaapp	Anterior spermathecae
gon_herm_spth_A	Z1.apppapaa	Anterior spermathecae
gon_herm_spth_A	Z1.apppapap	Anterior spermathecae
gon_herm_spth_A	Z1.apppapp	Anterior spermathecae
gon_herm_spth_A	Z1.appppa	Anterior spermathecae
gon_herm_spth_A	Z1.appppp	Anterior spermathecae
gon_herm_spth_A	Z1.paappaaaa	Anterior spermathecae
gon_herm_spth_A	Z1.paappaaap	Anterior spermathecae
gon_herm_spth_A	Z1.paappaapa	Anterior spermathecae
gon_herm_spth_A	Z1.paappaapp	Anterior spermathecae
gon_herm_spth_A	Z1.paappapaa	Anterior spermathecae
gon_herm_spth_A	Z1.paappapap	Anterior spermathecae
gon_herm_spth_A	Z1.paappapp	Anterior spermathecae
gon_herm_spth_A	Z1.paapppa	Anterior spermathecae
gon_herm_spth_A	Z1.paapppp	Anterior spermathecae
gon_herm_spth_A	Z1.papaaad	Anterior spermathecae
gon_herm_spth_A	Z1.papaaav	Anterior spermathecae
gon_herm_spth_A	Z1.papaapv	Anterior spermathecae
gon_herm_spth_A	Z4.apaaaad	Anterior spermathecae
gon_herm_spth_A	Z4.apaaaav	Anterior spermathecae
gon_herm_spth_A	Z4.apaaapv	Anterior spermathecae
gon_herm_spth_P	Z4.paaaaa	Posterior spermathecae
gon_herm_spth_P	Z4.paaaap	Posterior spermathecae
gon_herm_spth_P	Z4.paaapaa	Posterior spermathecae
gon_herm_spth_P	Z4.paaapapa	Posterior spermathecae
gon_herm_spth_P	Z4.paaapapp	Posterior spermathecae
gon_herm_spth_P	Z4.paaappaa	Posterior spermathecae
gon_herm_spth_P	Z4.paaappap	Posterior spermathecae
gon_herm_spth_P	Z4.paaapppa	Posterior spermathecae
gon_herm_spth_P	Z4.paaapppp	Posterior spermathecae
gon_herm_spth_P	Z4.appaaaa	Posterior spermathecae
gon_herm_spth_P	Z4.appaaap	Posterior spermathecae
gon_herm_spth_P	Z4.appaapaa	Posterior spermathecae
gon_herm_spth_P	Z4.appaapapa	Posterior spermathecae
gon_herm_spth_P	Z4.appaapapp	Posterior spermathecae
gon_herm_spth_P	Z4.appaappaa	Posterior spermathecae
gon_herm_spth_P	Z4.appaappap	Posterior spermathecae
gon_herm_spth_P	Z4.appaapppa	Posterior spermathecae
gon_herm_spth_P	Z4.appaapppp	Posterior spermathecae
gon_herm_spth_P	Z4.apappav	Posterior spermathecae
gon_herm_spth_P	Z4.apapppd	Posterior spermathecae
gon_herm_spth_P	Z4.apapppv	Posterior spermathecae
gon_herm_spth_P	Z1.papppav	Posterior spermathecae
gon_herm_spth_P	Z1.pappppd	Posterior spermathecae
gon_herm_spth_P	Z1.pappppv	Posterior spermathecae
gon_herm_sujn_A	Z1.papaapd	Anterior spermathecal-uterine junction
gon_herm_sujn_A	Z1.papapaaa	Anterior spermathecal-uterine junction
gon_herm_sujn_A	Z1.ppaaaaa	Anterior spermathecal-uterine junction
gon_herm_sujn_A	Z1.ppaaapa	Anterior spermathecal-uterine junction
gon_herm_sujn_A	Z4.apaaapd	Anterior spermathecal-uterine junction
gon_herm_sujn_A	Z4.apaapaaa	Anterior spermathecal-uterine junction
gon_herm_sujn_P	Z1.pappappp	Posterior spermathecal-uterine junction
gon_herm_sujn_P	Z1.papppad	Posterior spermathecal-uterine junction
gon_herm_sujn_P	Z4.apapappp	Posterior spermathecal-uterine junction
gon_herm_sujn_P	Z4.apappad	Posterior spermathecal-uterine junction
gon_herm_sujn_P	Z4.aapppap	Posterior spermathecal-uterine junction
gon_herm_sujn_P	Z4.aappppp	Posterior spermathecal-uterine junction
gon_herm_dut	Z1.papapaap	Dorsal uterus
gon_herm_dut	Z1.papapapa	Dorsal uterus
gon_herm_dut	Z1.papapapp	Dorsal uterus
gon_herm_dut	Z1.papappaa	Dorsal uterus
gon_herm_dut	Z1.papappap	Dorsal uterus
gon_herm_dut	Z1.papapppa	Dorsal uterus
gon_herm_dut	Z1.papapppp	Dorsal uterus
gon_herm_dut	Z1.pappaaaa	Dorsal uterus
gon_herm_dut	Z1.pappaaap	Dorsal uterus
gon_herm_dut	Z1.pappaapa	Dorsal uterus
gon_herm_dut	Z1.pappaapp	Dorsal uterus
gon_herm_dut	Z1.pappapaa	Dorsal uterus
gon_herm_dut	Z1.pappapap	Dorsal uterus
gon_herm_dut	Z1.pappappa	Dorsal uterus
gon_herm_dut	Z4.apaapaap	Dorsal uterus
gon_herm_dut	Z4.apaapapa	Dorsal uterus
gon_herm_dut	Z4.apaapapp	Dorsal uterus
gon_herm_dut	Z4.apaappaa	Dorsal uterus
gon_herm_dut	Z4.apaappap	Dorsal uterus
gon_herm_dut	Z4.apaapppa	Dorsal uterus
gon_herm_dut	Z4.apaapppp	Dorsal uterus
gon_herm_dut	Z4.apapaaaa	Dorsal uterus
gon_herm_dut	Z4.apapaaap	Dorsal uterus
gon_herm_dut	Z4.apapaapa	Dorsal uterus
gon_herm_dut	Z4.apapaapp	Dorsal uterus
gon_herm_dut	Z4.apapapaa	Dorsal uterus
gon_herm_dut	Z4.apapapap	Dorsal uterus
gon_herm_dut	Z4.apapappa	Dorsal uterus
gon_herm_vut	Z1.ppaaaap	Ventral uterus
gon_herm_vut	Z1.ppaaapp	Ventral uterus
gon_herm_vut	Z1.ppaapaa	Ventral uterus
gon_herm_vut	Z1.ppaapap	Ventral uterus
gon_herm_vut	Z1.ppaappa	Ventral uterus
gon_herm_vut	Z1.ppaappp	Ventral uterus
gon_herm_vut	Z1.ppapaaa	Ventral uterus
gon_herm_vut	Z1.ppapaap	Ventral uterus
gon_herm_vut	Z1.ppapapa	Ventral uterus
gon_herm_vut	Z1.ppapapp	Ventral uterus
gon_herm_vut	Z1.ppappd	Ventral uterus
gon_herm_vut	Z1.pppaad	Ventral uterus
gon_herm_vut	Z1.pppaav	Ventral uterus
gon_herm_vut	Z1.pppapd	Ventral uterus
gon_herm_vut	Z1.pppapv	Ventral uterus
gon_herm_vut	Z1.ppppad	Ventral uterus
gon_herm_vut	Z1.ppppav	Ventral uterus
gon_herm_vut	Z1.pppppaa	Ventral uterus
gon_herm_vut	Z1.pppppap	Ventral uterus
gon_herm_vut	Z1.ppppppa	Ventral uterus
gon_herm_vut	Z1.ppppppp	Ventral uterus
gon_herm_vut	Z4.aapaad	Ventral uterus
gon_herm_vut	Z4.aapaav	Ventral uterus
gon_herm_vut	Z4.aapapd	Ventral uterus
gon_herm_vut	Z4.aapapv	Ventral uterus
gon_herm_vut	Z4.aappaaa	Ventral uterus
gon_herm_vut	Z4.aappaap	Ventral uterus
gon_herm_vut	Z4.aappapa	Ventral uterus
gon_herm_vut	Z4.aappapp	Ventral uterus
gon_herm_vut	Z4.aapppaa	Ventral uterus
gon_herm_vut	Z4.aappppa	Ventral uterus
gon_herm_vut	Z1.ppaaaap	Ventral uterus
gon_herm_vut	Z1.ppaaapp	Ventral uterus
gon_herm_vut	Z1.ppaapaa	Ventral uterus
gon_herm_vut	Z1.ppaapap	Ventral uterus
gon_herm_vut	Z1.ppaappa	Ventral uterus
gon_herm_vut	Z1.ppaappp	Ventral uterus
gon_herm_vut	Z1.ppapad	Ventral uterus
gon_herm_vut	Z1.ppapav	Ventral uterus
gon_herm_vut	Z1.ppappd	Ventral uterus
gon_herm_vut	Z1.ppappv	Ventral uterus
gon_herm_vut	Z4.aaaaaaa	Ventral uterus
gon_herm_vut	Z4.aaaaaap	Ventral uterus
gon_herm_vut	Z4.aaaaapa	Ventral uterus
gon_herm_vut	Z4.aaaaapp	Ventral uterus
gon_herm_vut	Z4.aaaapd	Ventral uterus
gon_herm_vut	Z4.aaaapv	Ventral uterus
gon_herm_vut	Z4.aaapad	Ventral uterus
gon_herm_vut	Z4.aaapav	Ventral uterus
gon_herm_vut	Z4.aaappv	Ventral uterus
gon_herm_vut	Z4.aaappd	Ventral uterus
gon_herm_vut	Z4.aapaad	Ventral uterus
gon_herm_vut	Z4.aapaav	Ventral uterus
gon_herm_vut	Z4.aapapaa	Ventral uterus
gon_herm_vut	Z4.aapapap	Ventral uterus
gon_herm_vut	Z4.aapappa	Ventral uterus
gon_herm_vut	Z4.aapappp	Ventral uterus
gon_herm_vut	Z4.aappaaa	Ventral uterus
gon_herm_vut	Z4.aappaap	Ventral uterus
gon_herm_vut	Z4.aappppa	Ventral uterus
gon_herm_vut	Z4.aappppp	Ventral uterus
gon_herm_vut	Z4.aapppaa	Ventral uterus
gon_herm_vut	Z4.aapppap	Ventral uterus
gon_male_dtc	Z1.a	Distal tip cell, inhibits meiosis in nearby germ cells
gon_male_dtc	Z1.p	Distal tip cell, inhibits meiosis in nearby grem cells
gon_male_link	Z1.paa/Z4.aaa	Linker cell, leads gonad during morphogenesis and initiates union with cloaca
gon_male_sves	Z1.ppaaaaa	Seminal vesicle, inner
gon_male_sves	Z1.ppaaaap	Seminal vesicle, inner
gon_male_sves	Z1.ppaaap	Seminal vesicle, inner
gon_male_sves	Z1.ppaap	Seminal vesicle, inner
gon_male_sves	Z1.ppap	Seminal vesicle, inner
gon_male_sves	Z1.pppaaaa	Seminal vesicle, inner
gon_male_sves	Z1.pppaaap	Seminal vesicle, inner
gon_male_sves	Z1.pppaap	Seminal vesicle, inner
gon_male_sves	Z1.pppap	Seminal vesicle, inner
gon_male_sves	Z1.pppp	Seminal vesicle, inner
gon_male_sves	Z1.pappp	Seminal vesicle, outer
gon_male_sves	Z4.aaapp	Seminal vesicle, outer
gon_male_sves	Z4.aappp	Seminal vesicle, outer
gon_male_sves	Z4.apaaaaa	Seminal vesicle, inner
gon_male_sves	Z4.apaaaap	Seminal vesicle, inner
gon_male_sves	Z4.apaaap	Seminal vesicle, inner
gon_male_sves	Z4.apaap	Seminal vesicle, inner
gon_male_sves	Z4.apap	Seminal vesicle, inner
gon_male_sves	Z4.appaaaa	Seminal vesicle, inner
gon_male_sves	Z4.appaaap	Seminal vesicle, inner
gon_male_sves	Z4.appaap	Seminal vesicle, inner
gon_male_sves	Z4.appap	Seminal vesicle, inner
gon_male_sves	Z4.appp	Seminal vesicle, inner
gon_male_sves	Z1.paapp	Seminal vesicle, outer
gon_male_vdef	Z1.papaaaa	Vas deferens
gon_male_vdef	Z1.papaaap	Vas deferens
gon_male_vdef	Z1.papaapaa	Vas deferens
gon_male_vdef	Z1.papaapap	Vas deferens
gon_male_vdef	Z1.papaappaa	Vas deferens
gon_male_vdef	Z1.papaappap	Vas deferens
gon_male_vdef	Z1.papaappp	Vas deferens
gon_male_vdef	Z1.papapa	Vas deferens
gon_male_vdef	Z1.papapp	Vas deferens
