FLPR;"Sensory neuron (Mechanosensory) (name originally derived from 'FLAP')";AB.prapaaapad
HSNL;Motor neuron;AB.plapppappa
HSNR;Motor neuron;AB.prapppappa
I1L;Pharyngeal interneuron;AB.alpapppaa
I1R;Pharyngeal interneuron;AB.arapappaa
I2L;Pharyngeal interneuron;AB.alpappaapa
I2R;Pharyngeal interneuron;AB.arapapaapa
I3;Pharyngeal Interneuron;MS.aaaaapaa
I4;Pharyngeal interneuron;MS.aaaapaa
I5;Pharyngeal interneuron (can also be a sensory neuron or both);AB.arapapapp
I6;Pharyngeal interneuron;MS.paaapaa
IL1DL;All polymodal: [Sensory neuron (Mechanosensory), Motor neuron, Interneuron];AB.alapappaaa
IL1DR;All polymodal: [Sensory neuron (Mechanosensory), Motor neuron, Interneuron];AB.alappppaaa
IL1L;All polymodal: [Sensory neuron (Mechanosensory), Motor neuron, Interneuron];AB.alapaappaa
IL1R;All polymodal: [Sensory neuron (Mechanosensory), Motor neuron, Interneuron];AB.alaappppaa
IL1VL;All polymodal: [Sensory neuron (Mechanosensory), Motor neuron, Interneuron];AB.alppapppaa
IL1VR;All polymodal: [Sensory neuron (Mechanosensory), Motor neuron, Interneuron];AB.arapppppaa
IL2DL;Sensory neuron (Chemosensory?);AB.alapappap
IL2DR;Sensory neuron (Chemosensory?);AB.alappppap
IL2L;Sensory neuron (Chemosensory?);AB.alapaappp
IL2R;Sensory neuron (Chemosensory?);AB.alaappppp
IL2VL;Sensory neuron (Chemosensory?);AB.alppapppp
IL2VR;Sensory neuron (Chemosensory?);AB.arapppppp
LUAL;Interneuron;AB.plpppaapap
LUAR;Interneuron;AB.prpppaapap
M1;Pharyngeal neuron (Motor);MS.paapaaa
M2L;Pharyngeal neuron (Motor);AB.araapappa
M2R;Pharyngeal neuron (Motor);AB.araappppa
M3L;Pharyngeal neuron - motor (also possibly proprioceptive sensory);AB.araapappp
M3R;Pharyngeal neuron - motor (also possibly proprioceptive sensory);AB.araappppp
M4;Pharyngeal neuron (Motor neuron);MS.paaaaaa
M5;Pharyngeal neuron (Motor);MS.paaapap
MCL;Pharyngeal neuron (Motor neuron, putative sensory);AB.alpaaappp
MCR;Pharyngeal neuron (Motor neuron, putative sensory);AB.arapaappp
MI;Pharyngeal neuron (motor), Interneuron;AB.araappaaa
NSML;Motor neuron. Possibly also proprioceptive/mechanosensory.;AB.araapapaav
NSMR;Motor neuron. Possibly also proprioceptive/mechanosensory.;AB.araapppaav
OLLL;Sensory neuron;AB.alppppapaa
OLLR;Sensory neuron;AB.praaapapaa
OLQDL;All polymodal: [Sensory neuron (Mechanosensory) Interneuron];AB.alapapapaa
OLQDR;All polymodal: [Sensory neuron (Mechanosensory) Interneuron];AB.alapppapaa
OLQVL;All polymodal: [Sensory neuron (Mechanosensory) Interneuron];AB.plpaaappaa
OLQVR;All polymodal: [Sensory neuron (Mechanosensory) Interneuron];AB.prpaaappaa
PDA;Sensory - motor neuron;AB.prpppaaaa
PDB;Motor neuron;P12.apa
PDEL;Sensory neuron;V5L.paaa
PDER;Sensory neuron;V5R.paaa
PHAL;Sensory neuron (Chemosensory);AB.plpppaapp
PHAR;Sensory neuron (Chemosensory);AB.prpppaapp
PHBL;Sensory neuron (Chemosensory);AB.plapppappp
PHBR;Sensory neuron (Chemosensory);AB.prapppappp
PHCL;Sensory neuron (Mechanosensory?);TL.pppaa
PHCR;Sensory neuron (Mechanosensory?);TR.pppaa
PLML;Sensory neuron (Mechanosensory);AB.plapappppaa
PLMR;Sensory neuron (Mechanosensory);AB.prapappppaa
PLNL;Neuron (Interneuron?);TL.pppap
PLNR;Neuron (Interneuron?);TR.pppap
PQR;Putative mechanosensory neuron;QL.ap
PVCL;Ventral cord interneuron;AB.plpppaapaa
PVCR;Ventral cord interneuron;AB.prpppaapaa
PVDL;Sensory neuron (Mechanosensory);V5L.paapa
PVDR;Sensory neuron (Mechanosensory);V5R.paapa
PVM;Sensory neuron (Mechanosensory);QL.paa
PVNL;Interneuron/motorneuron;TL.appp
PVNR;Interneuron/motorneuron;TR.appp
PVPL;Interneuron;AB.plppppaaa
PVPR;Interneuron;AB.prppppaaa
PVQL;Interneuron;AB.plapppaaa
PVQR;Interneuron;AB.prapppaaa
PVR;Interneuron;C.aappv
PVT;Interneuron;AB.plpappppa
PVWL;Interneuron;TL.ppa
PVWR;Interneuron;TR.ppa
RIAL;Interneuron;AB.alapaapaa
RIAR;Interneuron;AB.alaapppaa
RIBL;Interneuron;AB.plpaappap
RIBR;Interneuron;AB.prpaappap
RICL;Interneuron;AB.plppaaaapp
RICR;Interneuron;AB.prppaaaapp
RID;Interneuron;AB.alappaapa
RIFL;Interneuron;AB.plppapaaap
RIFR;Interneuron;AB.prppapaaap
RIGL;Interneuron;AB.plppappaa
RIGR;Interneuron;AB.prppappaa
RIH;Interneuron;AB.prpappaaa
RIML;Ring motor neuron;AB.plppaapap
RIMR;Ring motor neuron;AB.prppaapap
RIPL;Ring/Pharynx interneuron;AB.alpapaaaa
RIPR;Ring/Pharynx interneuron;AB.prappaaaa
RIR;Ring interneuron;AB.prpapppaa
RIS;Interneuron;AB.prpappapa
RIVL;Polymodal (interneuron/motor neuron);AB.plpaapaaa
RIVR;Polymodal (interneuron/motor neuron);AB.prpaapaaa
RMDDL;Ring motor neuron;AB.alpapapaa
RMDDR;Ring motor neuron;AB.arappapaa
RMDL;Ring motor neuron;AB.alpppapad
RMDR;Ring motor neuron;AB.praaaapad
RMDVL;Ring motor neuron;AB.alppapaaa
RMDVR;Ring motor neuron;AB.arapppaaa
RMED;Motor neuron;AB.alapppaap
RMEL;Motor neuron;AB.alaaaarlp
RMER;Motor neuron;AB.alaaaarrp
RMEV;Motor neuron;AB.plpappaaa
RMFL;Motor neuron;G2.al
RMFR;Motor neuron;G2.ar
RMGL;Interneuron;AB.plapaaapp
RMGR;Interneuron;AB.prapaaapp
RMHL;Motor neuron;G1.l
RMHR;Motor neuron;G1.r
SAADL;Interneuron;AB.alppapapa
SAADR;Interneuron;AB.arapppapa
SAAVL;Interneuron;AB.plpaaaaaa
SAAVR;Interneuron;AB.prpaaaaaa
SABD;Interneuron;AB.plppapaap
SABVL;Interneuron;AB.plppapaaaa
SABVR;Interneuron;AB.prppapaaaa
SDQL;Interneuron;QL.pap
SDQR;Interneuron;QR.pap
SIADL;Interneuron;AB.plpapaapa
SIADR;Interneuron;AB.prpapaapa
SIAVL;Interneuron;AB.plpapappa
SIAVR;Interneuron;AB.prpapappa
SIBDL;Interneuron;AB.plppaaaaa
SIBDR;Interneuron;AB.prppaaaaa
SIBVL;Interneuron;AB.plpapaapp
SIBVR;Interneuron;AB.prpapaapp
SMBDL;Motor neuron/interneuron;AB.alpapapapp
SMBDR;Motor neuron/interneuron;AB.arappapapp
SMBVL;Motor neuron/interneuron;AB.alpapappp
SMBVR;Motor neuron/interneuron;AB.arappappp
SMDDL;Motor neuron/interneuron;AB.plpapaaaa
SMDDR;Motor neuron/interneuron;AB.prpapaaaa
SMDVL;Motor neuron/interneuron;AB.alppappaa
SMDVR;Motor neuron/interneuron;AB.arappppaa
URADL;Motor neuron;AB.plaaaaaaa
URADR;Motor neuron;AB.arpapaaaa
URAVL;Motor neuron;AB.plpaaapaa
URAVR;Motor neuron;AB.prpaaapaa
URBL;Interneuron;AB.plaapaapa
URBR;Interneuron;AB.praapaapa
URXL;Sensory neuron (oxygen sensor), also ring interneuron;AB.plaaaaappp
URXR;Sensory neuron (oxygen sensor), also ring interneuron;AB.arpapaappp
URYDL;Sensory neuron;AB.alapapapp
URYDR;Sensory neuron;AB.alapppapp
